"Hash","string"
"e3da713e","Hey there! Finally..."
"e2da6f4b","Glad you made it, my little apprentice!"
"e1da6dd8","I'm Rina.
And this is Veevee!"
"e8da78dd","Okay then!
Let's start off with some lessons!"
"e7da776a","Why are you just standing there gaping like that?
You saw it, right? The DigiMail?"
"e6da75f7","You're good enough to qualify as an apprentice to a top-
level Tamer like me!"
"e5da7404","Hm? Why do you need to have two partners? It bothers you,
right?"
"dcda6639","Now that we're on the same page, here's what you need to do
for training!"
"dbda6446","Drum roll, please! Ta-da!"
"5ed76128","It says to do ten training sessions!"
"5fd7629b","A Tamer is nothing without training!
Don't worry though, it's a piece of cake!"
"60d7640e","Come back here when you're done! Seriously!
Get going, now!"
"18b347eb","How's it going, little apprentice?
Your training's on track?"
"19b3495e","Not done yet?!
Get on it!"
"4abe6e70","Okay, little apprentice!
Looks like you are done with your ten sessions!"
"4dbe72c9","I like your attitude!
Way to go!"
"4cbe7156","So your next session...
What's with that face? What?"
"4fbe762f","Oh, you want a reward?
Let me think..."
"4ebe74bc","Well done! Excellent! Good job!"
"51be7975","..."
"50be7782","Sorry... Really...
You will get compensation, for sure..."
"53be7c5b","Hey, Veevee, don't go soft on my apprentice!
A Tamer's road is a hard one."
"52be7ae8","Okay, okay, as I was saying!
Your next session!"
"65bc5a1a","Drum roll, please! Ta-da!"
"66bc5b8d","It says to collect 30 Digistalks!"
"63bc5734","Tamers have got to collect food
so they can keep their partner's belly full!"
"64bc58a7","Well then, off with you!
Yeah!"
"682c5e1d","Hey, how'd you do? You collected them all?!
30 Digistalks!"
"652c5944","Not yet!
If you don't hurry up, I'll find you a weird nickname!"
"520ec802","Hey, apprentice of mine!
You did it, didn't you?"
"510ec6af","I count... 30 Digistalks!
Thanks!"
"500ec53c","Smile! This time I have a real reward for you.
Hang on just a sec..."
"4f0ec349","Here it is!"
"4e0ec1d6","You received 30 Digistalks!"
"4d0ec063","What?
I'd thought you'd be happier than that!"
"4c0ebef0","You say these are just the 30 Digistalks you brought me?
No, no! Look here!"
"5b0ed66d","See? These have my autograph!
That's cool, right?"
"5a0ed4fa","That makes them worth a lot more!
You could put a few of them up for auction..."
"4d0c818c","..."
"4e0c837f","Sorry, sorry! You're probably too choked up to speak, right?
On to the next training session?"
"4f0c84d2","Drum roll, please! Ta-da!"
"500c8645","It says to bring a Super Regen Disk, a Super Double
Disk, and a Full Remedy Disk!"
"490c7b40","They're all top-grade and really rare!
Things a Tamer would want to have on hand!"
"4a0c7d33","Off with you, apprentice! I mean, my precious little
apprentice! You should be able to do this one easily!"
"24f561cf","You already got them?!
You're unbelievable!"
"25f563a2","But no! Not yet!
It's so easy to get them confused. Bring the right ones!"
"26f56515","You need a Super Regen Disk, a Super Double Disk, and a Full Remedy Disk!"
"bcbb8d54","What's this?! You got 'em!
Show me, show me!"
"bfbb922d","That's a Super Regen Disk, a Super Double Disk, and a
Full Remedy Disk, for sure!"
"bebb90ba","Well, that cinches it... Yeah...
I'm glad I asked you... You were the right choice!"
"b9bb889b","Let me just autograph these...
What's that? No? Oh, really?"
"b8bb8728","Um, okay then. The next training session...
This one is a little crazy..."
"bbbb8be1","Come back tomorrow.
Today you should rest up, my dear apprentice..."
"d9df0ec1","Not yet, dear apprentice!
Calm yourself down!"
"1b32a93","Here we go! Here we go! ...Wha'?!"
"2b32c06","Why's your inventory full?! Didn't I tell you to make some
space?!"
"3b32df9","Hm? I didn't? You sure? Ah, darnit!"
"4b32f6c","Well, you didn't really need me to say it, though, right?
You should want to impress me by reading my mind!"
"5b330df","What are you waiting for?! Clear some space already!"
"4068869","You're here! My dear apprentice!"
"1068390","I can't believe you made it this far!"
"2068503","But I can't start crying yet!"
"7068d22","Here's your final training session!
Let's skip the drum roll this time."
"8068e95","It's time to fight the best of the best!
UlforceVeedramon, also known as Veevee!"
