"Hash","string"
"mailCode0","<title>Title 0</title><body>Body 0000</body>"
"mailCode1","<title>Bringing Digimon to town...</title>
<body>Let's start by looking on Nigh Plains
for Digimon to call into town.
That seems like a good place to start.

But don't forget it's very dangerous.
It will be safer to get your partner to
Child status before heading out.</body>"
"mailCode2","<title>Come back to town!</title>
<body>The Digimon search is going well.

Thanks to you, I have been able to get a
lot of information from the Digimon in
town.

When you have a spare minute, why don't
you visit me at home?</body>"
"mailCode3","<title>South of Nigh Plains</title>
<body>There are more humans out there...
What a surprise!

Witnesses say they're in the area of
Power Plant #2 south of Nigh Plains.

Leave the town and just head south.</body>"
"mailCode4","<title>Thanks!</title>
​<body>Thank you again!
​It is a big relief that there are humans
other than me and ​Himari</body>"
"mailCode5","<title>It's Himari!</title>
<body>I'm so glad we met!
But it's really strange that someone has
TWO Digimon partners! Really weird...</body>"
"mailCode6","<title>Head to Logic Volcano!</title>
<body>Taomon has a place where it can meditate
halfway up Logic Volcano.

It's to the south of Noise Storm, next
to Server Desert west of Nigh Plains.
Leave town and go west, south and south.

It's going to be a long journey...</body>"
"mailCode7","<title>Burying seeds</title>
<body>Taomon is really weird... What's up with
suddenly asking us to bury the seeds?

Where can we even bury the seeds?

Oh! I know! There is a place at Power
Plant #2 in Nigh Plains where you might
be able to bury them!</body>"
"mailCode8","<title>Going back to Taomon's!</title>
<body>That was a very strange flower...

Let's not worry about it now and go back
to Taomon's instead.
We'll see you there!</body>"
"mailCode9","<title>Back in town!</title>
<body>My socks were blown off when I saw
Taomon was back!

Anyway, now we can work on building the
Machinedramon Detector!

I need to talk to you about it...
Come over to my house for a quick chat!</body>"
"mailCode10","<title>Creating a Digimon town</title>
<body>I still need some time before the
Machinedramon Detector is ready.

Until then, you should keep looking for
Digimon to live in the town!</body>"
"mailCode11","<title>Coming back to town?</title>
<body>Is the resident search going well?
I have almost finished my Machinedramon
Detector.

Why don't you come over to see me do the
finishing touches to it?</body>"
"mailCode12","<title>Going to the Server Desert!</title>
<body>I'm heading to the Dead End Town in the
western part of the Server Desert.

Leave town and just keep heading west!

The sandstorms can be a real pain, but
keep following the signs. You'll be OK!</body>"
"mailCode13","<title>Coming back to town?</title>
<body>Things are calmer now that there is no
sign of the Machinedramon.

Come back to town so that I can fill you
in.</body>"
"mailCode14","<title>Invite more Digimon to join us!</title>
<body>Everyone just seems to be waiting around
for some new signal.

You should keep looking for residents
until there is some new development.</body>"
"mailCode15","<title>Back in town!</title>
<body>The Machinedramon Detector is reacting
to something!

Hurry back to my house, right away!</body>"
"mailCode16","<title>Going to the Server Desert!</title>
<body>I'm going to Stepstep in the northeast
of the Server Desert!

Leave town and go west, west, north!

You need to be ready to fight off some
Machinedramon again!</body>"
"mailCode17","<title>Invite more Digimon to join us!</title>
<body>I'm worried about what that Mirei said
but not only do I not have any ideas...
I also can't move from here...

Right now I want us to stay focused on
bringing more Digimon to the town.</body>"
"mailCode18","<title>URGENT! Come back to town!</title>
<body>{0}, we're in trouble here!
You need to come and find me right now!</body>"
"mailCode19","<title>I'm at Faulty Ex Machina!</title>
<body>{0}, help me!
I didn't listen to Himari and now I'm
far, far away...
I went to Faulty Ex Machina...
I'm to the north of the Palace of
Thorns, which is in the plains after the
desert! Please help me!</body>"
