"Hash","string"
"c2cac7f4","Hey! Who are you?!"
"c5cacc4d","?!"
"c4cacada","Are you one of those humans?! Oh, I see! You were
controlling Machinedramon!"
"bfcac33b","?!?!"
"becac148","How dare you mess with Floatia! I'll take you down!"
"c1cac601","!!!"
"38e761ef","Ow-ow-ow...huh? It...it doesn't really hurt?!"
"39e76342","I held back, but...are you okay?
Let's go back to town. Jijimon's waiting."
"3ae76535","Yeah, this is nothing! ...Hey, wait a sec. You telling me...
you're not a bad guy?!"
"33e75a30","...You know Jijimon?
Don't tell me...you're not a bad guy?!"
"34e75ba3","{0} explained the situation."
"35e75d16","Is that right? My bad... I got a bit ahead of myself."
"36e75e89","I've never seen a human before, y'see..."
"3fe76cd4","Right, then. I'm going back to Floatia. Gimme a holler if
you see me out there!"
"40e76e47","Patamon joined the city!"
"1f2ae571","Here I go! HNNNGH! HUP! ...Dang. I can't do it."
"1c2ae0b8","I want to fly all through the sky! The thing is, though, I'm
not very good at it..."
"1d2ae22b","Won't someone teach me how to fly?"
"222ae9ca","Keep trying, you'll get it!
I don't think it's possible."
"232aebbd","I will, thanks! If you meet any Digimon that could give some
pointers, please let me know!"
"202ae6e4","How could you say that?! I'll learn how to fly, you'll see!"
"c4f4bb32","Here I go! HNNNGH! HUP! ...Dang, I can't do it."
"c3f4b95f","I want to fly all through the sky! The thing is, though, I'm
not very good at it..."
"c2f4b7ec","Won't someone teach me how to fly?"
"c1f4b679","Keep trying, you'll get it!
I don't think it's possible.
I saw Birdramon in the city!"
"c0f4b486","I will, thanks! If you meet any Digimon that could give some
pointers, please let me know!"
"bff4b313","How could you say that?! I'll learn how to fly, you'll see!"
"bef4b1a0","No way! THE Birdramon?! I'd love to be able to fly like
Birdramon!"
"cdf4c91d","No time to waste! Thanks for letting me know!"
"ccf4c7aa","Biyomon joined the city!"
"8fa00162","Hmm, it's no good... I can't think of anything..."
"8e9fff8f","I may be weak, but I want to help people. The problem is, my
only skill is making this thread..."
"8d9ffe1c","I'm confident in its strength, but what can I use it for?"
"8c9ffca9","How about knitting?
Make it into a lifeline?
Use it for fishing line."
"8b9ffb36","Knitting, huh...but how could that help people? Hmm...
I get the feeling there's a better solution..."
"8a9ff943","I'll think about it a bit more..."
"899ff7d0","It'd be perfect for helping people, but...I don't want to
think about what'd happen if it broke!"
"98a00f4d","If someone got hurt because of my thread... Just the thought
of it gives me chills!"
"97a00dda","Sorry, I just can't handle the responsibility!"
"8a9dbaec","Calm down!
Nobody's gotten hurt yet!"
"8b9dbc5f","Oh! Yeah, you're right... Okay, deep breaths..."
"8c9dbe32","Right, I'm okay now... Sorry, before I knew it I had a panic
attack..."
"8d9dbfa5","Yeah.. the lifeline thing's too scary for me. Let's think of
something else..."
"869db4a0","Something that is KIND of helpful... I wonder..."
"879db613","Fishing line! What a great idea! Even I could make something
like that."
"889db786","Wait... I don't have anything I could use as a fishing rod.
Hey, could you help me find a stick or something?"
"899db979","Sure!
I guess...
No dice."
"929dc744","Really?! Wow, thanks so much!"
"939dc937","Heh heh, sorry. And thanks!"
"9ca492c7","Don't say that! C'mon, be a pal!"
"9ba49154","Okay, if you find anything that could be used as a rod,
bring it here! I'm counting on you!"
"e9d62ba1","If you find anything that could be used as a rod, bring it
here! I'm counting on you!"
"c00d1934","Did you bring me something I could use as a fishing rod?"
"c30d1d8d","Yep, here it is!
Not yet..."
"c20d1c1a","Oooh, that's the ticket! Okay, now I just tie the string to
the end..."
"bd0d147b","Presto, fishing rod complete! Couldn't have done it without
you! Here's a little something to say thanks."
"bc0d1288","I hope this helps with your fishing! Use it well!"
"bf0d1741","Right, I'll wait here like a good little Digimon. Good luck!"
"be0d15ee","Wormmon joined the city!"
"5e54acb","You picked up a Strong Branch!"
"6e54cbe","You got a Fishing Rod!"
"75b6a13f","You guys have come at a good time! I need your help with
something."
"76b6a292","I'm looking for fertilizer to help me make some tasty meat,
but I'm having a little trouble. That's where you come in."
"77b6a405","No problem!
I'm a little busy right now..."
"70b69900","Awesome, thanks! You're the best."
"71b69af3","Bring me a Cheerful Apple, a Digistalk and a Salty Fruit
when you find them!"
